profit factor = -0.0670594927869
winning days = 774
average win = 0.0291382829665
sharpe ratio = 9.66092458073
max consecutive wins = 35
cumulative return = 81695731.0179
max consecutive losses = 4
information ratio = 0.608581044656
total days = 944
average loss = -1.97831631014
max daily return = 0.243717722594
reference cumulative return = 0.27604165477134646
average daily return = 0.019486706308
win rate = 0.8199152542372882
max daily drawdown = -0.191209997944
average_t_stats = [43.21330426009547, 83.347187143808696, 4.9922791108517108, 50.315709187191572, 156.67458864506122]
daily return stdev = 0.03201990347733949
max drawdown = 0.191209997944
total transaction fee = 0
losing days = 170

Date	Gain%	Val	Ref_value	Daily_fee
2013-05-21	0.67432%	79677482.08236	10963955.95530	0.00000
2013-05-22	-2.90580%	77362210.88417	10849344.33590	0.00000
2013-05-23	7.61222%	83251196.27922	10969446.41182	0.00000
2013-05-24	2.64596%	85453987.43862	11036163.46110	0.00000
2013-05-28	2.54551%	87629224.62841	11042462.12519	0.00000
2013-05-29	1.59868%	89030134.05382	11033124.72557	0.00000
2013-05-30	3.05601%	91750907.87042	11085575.14284	0.00000
2013-05-31	3.86766%	95299518.92950	11058592.93383	0.00000
2013-06-03	1.82536%	97039082.37889	11090302.07376	0.00000
2013-06-04	2.74721%	99704948.57746	11032432.29150	0.00000
2013-06-05	4.20893%	103901462.74309	10943128.56089	0.00000
2013-06-06	3.54921%	107589143.54809	11018441.80558	0.00000
2013-06-07	2.53487%	110316386.54975	11049443.31396	0.00000
2013-06-10	1.71079%	112203672.81361	11092102.34568	0.00000
2013-06-11	0.95519%	113275432.84051	11102465.09121	0.00000
2013-06-12	3.70738%	117474983.38676	10989320.44207	0.00000
2013-06-13	2.25710%	120126507.97031	11115160.53337	0.00000
2013-06-14	1.43833%	121854322.41890	11053552.96497	0.00000
2013-06-17	3.56433%	126197613.81153	11042492.48032	0.00000
2013-06-18	2.13262%	128888934.03019	11124450.66055	0.00000
2013-06-19	3.28079%	133117508.66973	11058675.81534	0.00000
2013-06-20	3.80204%	138178690.97033	10959487.74034	0.00000
2013-06-21	2.59793%	141768476.62059	10970735.86715	0.00000
2013-06-24	2.26395%	144978048.91888	10925288.96788	0.00000
2013-06-25	3.78269%	150462123.15807	10949280.99571	0.00000
2013-06-26	1.65270%	152948808.52655	10926578.37825	0.00000
2013-06-27	3.68067%	158578344.16928	11003755.12666	0.00000
2013-06-28	4.19496%	165230647.37298	11053430.78089	0.00000
2013-07-01	3.88737%	171653777.39981	11116444.60388	0.00000
2013-07-02	3.99379%	178509272.91413	11103826.52928	0.00000
2013-07-03	2.16996%	182382849.32813	11154850.88985	0.00000
