win rate = 0.8199152542372882
max daily return = 0.24215860476855822
average win = 0.02945605963759371
losing days = 170
reference cumulative return = 0.27604165477134734
max daily drawdown = -0.19192199774717544
total days = 944
max consecutive wins = 35
daily return stdev = 0.032131409284304455
max consecutive losses = 4
average_t_stats = [43.216896604244482, 83.349095554065102, 4.9921935853569082, 50.316036771418318, 156.67021092934567]
cumulative return = 98136036.61165214
information ratio = 0.6126323319448571
average daily return = 0.01968474019851807
profit factor = -0.0678019920395554
average loss = -1.977990657595038
total transaction fee = 4007388343673.145
winning days = 774
max drawdown = 0.19192199774717544
sharpe ratio = 9.72523677266198

Date	Gain%	Val	Ref_value	Daily_fee
2013-07-02	4.35%	181314528	11103827	17488
2013-07-03	2.05%	185028863	11154851	14102
2013-07-05	1.45%	187720941	11182572	12269
2013-07-08	13.19%	212489927	11179763	12784
2013-07-09	13.72%	241635812	11181366	17301
2013-07-10	3.71%	250609435	11233751	32029
2013-07-11	0.23%	251195307	11252910	16338
2013-07-12	2.31%	257005118	11301193	20995
2013-07-15	-19.19%	207680183	11347475	18792
2013-07-16	3.15%	214227310	11335459	12549
2013-07-17	2.54%	219660716	11339165	18825
2013-07-18	-1.52%	216311973	11365328	12818
2013-07-19	0.76%	217951113	11389548	13995
2013-07-22	-2.10%	213369320	11438296	12442
2013-07-23	1.48%	216528354	11416194	11894
2013-07-24	2.62%	222196955	11350813	15937
2013-07-25	3.17%	229239286	11439334	10130
2013-07-26	0.84%	231157147	11457486	13672
2013-07-29	3.37%	238939321	11420824	14735
2013-07-30	-0.34%	238128973	11393876	13214
2013-07-31	1.36%	241362400	11402217	12805
2013-08-01	0.86%	243435060	11451028	11647
2013-08-02	3.35%	251596300	11488731	11533
2013-08-05	-2.86%	244400037	11541971	15675
2013-08-06	6.99%	261484835	11496454	18846
2013-08-07	-2.23%	255653522	11456083	16207
2013-08-08	1.70%	259998523	11436610	15910
2013-08-09	6.53%	276966923	11429041	37247
2013-08-12	2.80%	284724918	11489944	21593
2013-08-13	-1.23%	281218821	11468035	32047
2013-08-14	1.13%	284391983	11450017	26693
2013-08-15	3.88%	295425737	11373012	22645
2013-08-16	2.80%	303706078	11384653	19433
2013-08-19	4.69%	317940952	11310217	24671
2013-08-20	3.76%	329897746	11394852	25751
2013-08-21	3.05%	339975203	11385529	24192
2013-08-22	2.98%	350093667	11466237	30981
