Date,int,prc,mom,hlv,vol,R^2,s_size
2013-04-30,-0.00034493,-0.00014215,0.15172224,0.00005093,-0.00068876,0.00719278,2000
2013-05-01,-0.00097185,-0.00048758,-0.08407719,-0.00315908,-0.00042336,0.05606075,2000
2013-05-02,0.00420610,-0.00045428,-0.04710842,0.00289009,-0.00013731,0.02977159,2000
2013-05-03,0.00643498,0.00015083,0.01724125,0.00478951,0.00067738,0.04408612,2000
2013-05-06,0.00185630,-0.00042197,-0.02003149,0.00140388,0.00012273,0.02520036,2000
2013-05-07,0.00127019,0.00007182,0.06398692,0.00081429,0.00012903,0.02072835,2000
2013-05-08,0.00187825,-0.00061516,-0.01304606,0.00040142,0.00004902,0.00547029,2000
2013-05-09,-0.00129388,0.00021654,-0.07615518,0.00021157,-0.00006446,0.00991778,2000
2013-05-10,-0.00005671,0.00014196,0.00660418,-0.00094057,-0.00017541,0.00646148,2000
2013-05-13,-0.00152617,-0.00005127,0.00924848,-0.00030698,-0.00010118,0.00179832,2000
2013-05-14,-0.00157811,0.00043029,-0.01873169,0.00007021,-0.00009584,0.00353780,2000
2013-05-15,-0.00087968,-0.00027077,-0.01641283,-0.00114324,-0.00011219,0.01441736,2000
2013-05-16,0.00025173,-0.00077772,0.04613723,0.00045820,-0.00130535,0.00681583,2000
2013-05-17,0.00377142,-0.00028505,-0.02151323,0.00171666,0.00001887,0.02221205,2000
2013-05-20,0.00080549,-0.00067049,0.04561187,-0.00041244,0.00014753,0.01487737,2000
2013-05-21,0.00074743,-0.00025208,-0.05221254,0.00145313,-0.00005233,0.00895628,2000
2013-05-22,0.00267254,-0.00068190,0.00820107,0.00167466,0.00019482,0.02874145,2000
2013-05-23,-0.00504893,-0.00080713,0.12623324,-0.00329088,-0.00069881,0.11944843,2000
2013-05-24,-0.00210928,-0.00054582,-0.05676823,0.00048995,-0.00115041,0.01481812,2000
2013-05-27,0.00119757,0.00260615,0.00005170,-0.00465508,-0.00293133,1.00000000,4
2013-05-28,0.00624558,0.00081236,0.02879812,0.00654451,0.00061197,0.18680234,2000
2013-05-29,-0.00308441,-0.00085954,-0.02604584,-0.00093099,-0.00063122,0.00841160,2000
2013-05-30,0.00306171,-0.00054717,0.04169163,0.00150831,0.00016270,0.03156495,2000
